Smiles;IC50 (nM);pIC50 (M);pIC50
O=C(O)C[C@H]1CC[C@@H](Oc2ccc(-c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)cn3)cn2)CC1;1.5;1.5E-09;8.823908741
O=C(O)C[C@]1(CC(F)(F)F)CCc2cc(-c3cnc(NC(=O)Nc4ccc(F)c(F)c4)cn3)ccc2C1=O;77;0.000000077;7.113509275
COc1ccc2[nH]c(-c3ccc(-c4ccc(O[C@H]5CC[C@@H](CC(=O)O)CC5)nc4)nc3)nc2n1;9.8;9.8E-09;8.008773924
O=C(O)C[C@H]1CC[C@@H](Oc2ccc(-c3ccc(-c4nc5cc(F)ccc5[nH]4)cn3)cn2)CC1;3.2;3.2E-09;8.494850022
O=C(O)C1(COc2ccc(-c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)cn2)CC1;11;0.000000011;7.958607315
O=C(O)C1CC(Oc2ccc(-c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)cn2)C1;24;0.000000024;7.619788758
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(c3)OCCN4C(=O)Nc3ccccc3)cc2)CC1;40;0.00000004;7.397940009
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(C(=O)Nc5ccccc5)cccc4c3)cc2)CC1;8;0.000000008;8.096910013
CCC1CN(C(=O)Nc2ccccc2)c2ccc(-c3ccc(OC[C@H]4C[C@@H]4C(=O)O)nc3)cc2O1;210;0.00000021;6.677780705
CS(=O)(=O)NC(=O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(c3)OCCN4C(=O)Nc3ccccc3)cc2)CC1;7300;0.0000073;5.13667714
O=C(O)C[C@H]1CC[C@@H](Oc2ccc(-c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)cn2)CC1;1.7;1.7E-09;8.769551079
O=C(O)C[C@H]1CC[C@@H](Oc2ccc(-c3ccc(-c4nc5cc(Cl)cnc5[nH]4)cn3)cn2)CC1;5.9;5.9E-09;8.229147988
Cc1ccc2[nH]c(-c3ccc(-c4ccc(O[C@H]5CC[C@@H](CC(=O)O)CC5)nc4)nc3)nc2n1;38.1;3.81E-08;7.419075024
O=C(O)c1ccc(Oc2ccc(-c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)cn2)cc1;4.4;4.4E-09;8.356547324
Cn1c(OCC(C)(C)C(N)=O)nnc1-c1ccc(NC(=O)c2ccc3ccccc3c2)cc1;6100;0.0000061;5.214670165
COc1ccc(-c2nnc(-c3ccc4nc(-c5c(C)cc(CCC(=O)O)cc5C)[nH]c4c3)o2)cc1;181;0.000000181;6.742321425
O=C(O)CC1CCC(c2ccc(-c3ccc4nc(C(=O)Nc5cccc(Cl)c5)cn4c3)cc2)CC1;11.7;1.17E-08;7.931814138
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)cn3)cc2)CC1;2.8;2.8E-09;8.552841969
O=C(O)[C@H]1CC[C@H](Oc2ccc(-c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)cn3)cn2)CC1;4.4;4.4E-09;8.356547324
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(c3)CCCN4C(=O)Nc3ccccc3)cc2)CC1;84;0.000000084;7.075720714
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(c3)CCN4C(=O)Nc3ccccc3)cc2)CC1;69;0.000000069;7.161150909
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(C(=O)Nc5ccccc5)ccnc4c3)cc2)CC1;23;0.000000023;7.638272164
Cc1cc(C(=O)NCCCCCc2ccccc2)c2ccc(-c3ccc([C@H]4CC[C@H](CC(=O)O)CC4)cc3)cc2n1;1.4;1.4E-09;8.853871964
CC(C)OC(=O)N1CCN(c2ccc(NC(=O)c3oc(N4CCCCC4)nc3C(F)(F)F)cn2)CC1;1205;0.000001205;5.919012953
O=C(Nc1ccc(N2CCN(C(=O)Nc3ccccc3Cl)CC2)nc1)c1oc(N2CCCCC2)nc1C(F)(F)F;26;0.000000026;7.585026652
